Model Number,Slice,Color Code,Gas? (disregard),Char Count,CARTON_DESC,PRODUCT_DESC,LINE_DESC,LENGTH,WIDTH,HEIGHT,WEIGHT,POINTS,BRAND_CD,BRAND_DESC,UPC_CD,Column1,Flat UPC,,backup
FRX17BBBW,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73868 5,012505738685,012505738685,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BBBZ,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,206,1.23,F,FRIGIDAIRE,0 12505 74083 1,012505740831,012505740831,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BBDZ,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74338 2,012505743382,012505743382,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BDBW,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73873 9,012505738739,012505738739,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BGBT,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,206,1.23,F,FRIGIDAIRE,0 12505 74089 3,012505740893,012505740893,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BGBW,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,206,1.23,F,FRIGIDAIRE,0 12505 74087 9,012505740879,012505740879,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BGBZ,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,206,1.23,F,FRIGIDAIRE,0 12505 74088 6,012505740886,012505740886,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17BHBW,,,Electric,9,17' STATIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.94,2.5,5.6,207,1.23,F,FRIGIDAIRE,0 12505 74090 9,012505740909,012505740909,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17G3DQ,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74357 3,012505743573,012505743573,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17G3DW,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74356 6,012505743566,012505743566,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17G5DQ,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74365 8,012505743658,012505743658,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17G5DW,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74364 1,012505743641,012505743641,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17GEBW,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73874 6,012505738746,012505738746,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17GFBW,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73875 3,012505738753,012505738753,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17IB2DQ,,Q,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74355 9,012505743559,012505743559,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17IB2DW,,W,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74354 2,012505743542,012505743542,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17IB5DQ,,Q,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74363 4,012505743634,012505743634,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17IB5DW,,W,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74362 7,012505743627,012505743627,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17IBCBQ,,Q,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73872 2,012505738722,012505738722,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17IBCBW,,W,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73871 5,012505738715,012505738715,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17IBCBZ,,Z,Electric,10,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,206,1.23,F,FRIGIDAIRE,0 12505 74086 2,012505740862,012505740862,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17IG3DQ,,Q,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74359 7,012505743597,012505743597,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17IG3DW,,W,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74358 0,012505743580,012505743580,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17IG5DQ,,Q,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74367 2,012505743672,012505743672,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRX17IG5DW,,W,Electric,10,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,190,1.19,F,FRIGIDAIRE,0 12505 74366 5,012505743665,012505743665,,16' & OVER REFRIG TM - 15 & 17 CU FT
FXHT1600QB,,B,Electric,10,17 CUBE SHRINK WRAP,16' & OVER REFRIG TM,15 & 17 CU FT,2.58,2.58,5.56,190,1.14,F,FRIGIDAIRE,0-00000-00000-0,0-00000-00000-0,,,16' & OVER REFRIG TM - 15 & 17 CU FT
FXTR1600QW,,W,Electric,10,17 CUBE SHRINK WRAP,16' & OVER REFRIG TM,15 & 17 CU FT,2.58,2.58,5.56,190,1.14,F,FRIGIDAIRE,0-00000-00000-0,0-00000-00000-0,,,16' & OVER REFRIG TM - 15 & 17 CU FT
HRT17HG3KW,,W,Electric,10,17 CUBE SHRINK WRAP,16' & OVER REFRIG TM,15 & 17 CU FT,2.58,2.58,5.56,188,1.14,F,FRIGIDAIRE,0 12505 74753 3,012505747533,012505747533,,16' & OVER REFRIG TM - 15 & 17 CU FT
LFHT1713LB,,B,Electric,10,17 CUBE SHRINK WRAP,16' & OVER REFRIG TM,15 & 17 CU FT,2.58,2.58,5.56,190,1.14,F,FRIGIDAIRE,0-12505-63076 7,0-12505-630767,012505630767,,16' & OVER REFRIG TM - 15 & 17 CU FT
LFHT1713LQ,,Q,Electric,10,17 CUBE SHRINK WRAP,16' & OVER REFRIG TM,15 & 17 CU FT,2.58,2.58,5.56,190,1.14,F,FRIGIDAIRE,0-12505-63234 1,0-12505-632341,012505632341,,16' & OVER REFRIG TM - 15 & 17 CU FT
